name,category,url,enabled
"Driving Adoption","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DrivingAdoptionBlog",true
"Education","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducationBlog",true
"Educator Developer","Development","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducatorDeveloperBlog",true
"Excel","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ExcelBlog",true
"Exchange","Exchange","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Exchange",true
"FSLogix","Virtualization","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FSLogix-Blog",true
"Fast Track","Fast Track","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackBlog",true
"Fast Track for Azure","Fast Track","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackforAzureBlog",true
"File CAB","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FileCAB",true
"FinOps","Finops","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FinOpsBlog",true
"Hardware Dev Center","Hardware","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HardwareDevCenter",true
"Healthcare And Life Sciences","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HealthcareAndLifeSciencesBlog",true
"IIS Support","IIS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IIS-Support-Blog",true
"ILT Communication","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ILTCommunicationBlog",true
"IT Ops Talk","ITOPS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ITOpsTalkBlog",true
"Integrations on Azure","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntegrationsonAzureBlog",true
"Intune Customer Success","Endpoints","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntuneCustomerSuccess",true
"IoT","IOT","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IoTBlog",true
"Linux and Open Source","Linux","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=LinuxandOpenSourceBlog",true
"M365 GCCH Community Hub","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=M365GCCHCommunityHubblog-board",true
"Machine Learning","AI","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MachineLearningBlog",true
"Manufacturing","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Manufacturing",true
"Marketplace","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Marketplace-Blog",true
"Messaging on Azure","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MessagingonAzureBlog",true
"Microsoft 365","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft_365blog",true
"Microsoft 365 Archive","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Archive_Blog",true
"Microsoft 365 Backup","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Backup_Blog",true
"Microsoft 365 Copilot","Copilot","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365CopilotBlog",true
"Microsoft 365 Insider","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365InsiderBlog",true
"Microsoft Data Migration","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDataMigration",true
"Microsoft Defender ATP","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderATPBlog",true
"Microsoft Defender Cloud","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderCloudBlog",true
"Microsoft Defender IoT","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderIoTBlog",true
"Microsoft Defender XDR","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftThreatProtectionBlog",true
"Microsoft Defender for Office 365","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderforOffice365Blog",true
"Microsoft Developer Community","Development","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDevCommunityBlog",true
"Microsoft Device Ecosystem Platform","Hardware","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDeviceEcosystemPlatformBlog",true
"Microsoft Edge Insider","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftEdgeInsider",true
"Microsoft Entra","Identity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-entra-blog",true
"Microsoft Forms","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftFormsBlog",true
"Microsoft Graph Data Connect for SharePoint","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_Graph_Data_Connect_for_SharePo",true
"Microsoft Industry","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftIndustryBlog",true
"Microsoft Intune","Endpoints","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoftintuneblog",true
"Microsoft Learn","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftLearnBlog",true
"Microsoft MVP Program","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=mvp-blog",true
"Microsoft Mechanics","Architecture","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMechanicsBlog",true
"Microsoft Mission Critical","Architecture","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMissionCriticalBlog",true
"Microsoft One Drive","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OneDriveBlog",true
"Microsoft Security Baselines","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft-Security-Baselines",true
"Microsoft Security Copilot","Copilot","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SecurityCopilotBlog",true
"Microsoft Security Experts","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftSecurityExperts",true
"Microsoft Sentinel","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftSentinelBlog",true
"Microsoft SharePoint","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SPBlog",true
"Microsoft Teams","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsBlog",true
"Microsoft Teams (free)","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=TeamsFreeBlog",true
"Microsoft Teams Community","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsCommunityBlog",true
"Microsoft Teams Support","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsSupport",true
"Microsoft USB","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftUSBBlog",true
"Microsoft Viva","Collaboration","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftVivaBlog",true
"Mixed reality link","AI","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=mixed-reality-link",true
"Modern Work App Consult","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ModernWorkAppConsult",true
"Modernization Best Practices","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ModernizationBestPracticesBlog",true
"Networking","Networking","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=NetworkingBlog",true
"Non profit Techies","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=NonprofitTechies",true
"Office 365 Business Apps","Microsoft 365","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Office365BusinessAppsBlog",true
"Office End Of Support","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OfficeEOS",true
"Oracle on Azure","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OracleonAzureBlog",true
"Outlook","Outlook","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Outlook",true
"Partner Marketing as a Service","Partners","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PartnerMarketingasaServiceblog-board",true
