Name,Url,Category,Link
Core Infrastructure and Security Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=CoreInfrastructureandSecurityBlog,Security
Corporate Communications Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Corporate_Communications_Blog,Others
Data Architecture Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DataArchitectureBlog,Data
Device Management Microsoft,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DeviceManagementMicrosoft,Endpoints
Driving Adoption Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DrivingAdoptionBlog,Others
Education Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducationBlog,Communities
Educator Developer Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducatorDeveloperBlog,Development
Excel Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ExcelBlog,Productivity
Exchange,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Exchange,Exchange
FSLogix Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FSLogix-Blog,Virtualization
Fast Track Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackBlog,Fast Track
Fast Track for Azure Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackforAzureBlog,Fast Track
FinOps Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FinOpsBlog,Finops
Hardware Dev Center,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HardwareDevCenter,Hardware
Healthcare And Life Sciences Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HealthcareAndLifeSciencesBlog,Communities
IIS Support Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IIS-Support-Blog,IIS
ILT Communication Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ILTCommunicationBlog,Communities
IT Ops Talk Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ITOpsTalkBlog,ITOPS
IoT Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IoTBlog,IOT
Intune Customer Success,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntuneCustomerSuccess,Endpoints
Linux and Open Source Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=LinuxandOpenSourceBlog,Linux
M365 GCCH Community Hub Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=M365GCCHCommunityHubblog-board,Microsoft 365
Manufacturing,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Manufacturing,Communities
Marketplace Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Marketplace-Blog,Communities
Messaging on Azure Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MessagingonAzureBlog,Others
Microsoft Edge Insider,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftEdgeInsider,Productivity
Microsoft 365 Archive Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Archive_Blog,Microsoft 365
Microsoft 365 Backup Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Backup_Blog,Microsoft 365
Microsoft 365 blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft_365blog,Microsoft 365
Microsoft 365 Copilot Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365CopilotBlog,Copilot
Microsoft 365 Insider Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365InsiderBlog,Microsoft 365
Office 365 Business Apps Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Office365BusinessAppsBlog,Microsoft 365
Viva Sales Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=VivaSales-Blog,Collaboration
Microsoft Data Migration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDataMigration,Data
Defender External Attack Surface Mgmt Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderExternalAttackSurfaceMgmtBlog,Security
Defender Threat Intelligence,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderThreatIntelligence,Security
Vulnerability Management,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Vulnerability-Management,Security
Microsoft Defender XDR Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftThreatProtectionBlog,Security
Microsoft Defender Cloud Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderCloudBlog,Security
Microsoft Defender ATP Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderATPBlog,Security
Microsoft Defender IoT Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderIoTBlog,Security
Microsoft Defender for Office 365 Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderforOffice365Blog,Security
Microsoft Developer Community,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDevCommunityBlog,Development
Microsoft Device Ecosystem Platform Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDeviceEcosystemPlatformBlog,Hardware
Microsoft Entra Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-entra-blog,Identity
Microsoft Forms Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftFormsBlog,Productivity
Microsoft Graph Data Connect for SharePoint,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_Graph_Data_Connect_for_SharePo,Data
Microsoft Industry Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftIndustryBlog,Communities
Microsoft Intune blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoftintuneblog,Endpoints
Microsoft Learn Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftLearnBlog,Communities
Microsoft MVP Program Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=mvp-blog,Communities
Microsoft Mechanics Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMechanicsBlog,Architecture
Microsoft Mission Critical Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMissionCriticalBlog,Architecture
Microsoft One Drive Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OneDriveBlog,Productivity
Azure Purview Blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzurePurviewBlog,Security
