Name,Category,Feed
Exchange,Exchange,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Exchange
FSLogix,Virtualization,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FSLogix-Blog
Fast Track,Fast Track,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackBlog
Fast Track for Azure,Fast Track,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackforAzureBlog
FinOps,Finops,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FinOpsBlog
Hardware Dev Center,Hardware,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HardwareDevCenter
Healthcare And Life Sciences,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=HealthcareAndLifeSciencesBlog
IIS Support,IIS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IIS-Support-Blog
ILT Communication,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ILTCommunicationBlog
IT Ops Talk,ITOPS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ITOpsTalkBlog
IoT,IOT,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IoTBlog
Intune Customer Success,Endpoints,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntuneCustomerSuccess
Linux and Open Source,Linux,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=LinuxandOpenSourceBlog
M365 GCCH Community Hub,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=M365GCCHCommunityHubblog-board
Manufacturing,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Manufacturing
Marketplace,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Marketplace-Blog
Messaging on Azure,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MessagingonAzureBlog
Microsoft Edge Insider,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftEdgeInsider
Microsoft 365 Archive,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Archive_Blog
Microsoft 365 Backup,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_365_Backup_Blog
Microsoft 365,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft_365blog
Microsoft 365 Copilot,Copilot,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365CopilotBlog
Microsoft 365 Insider,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365InsiderBlog
Office 365 Business Apps,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Office365BusinessAppsBlog
Viva Sales,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=VivaSales-Blog
Microsoft Data Migration,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDataMigration
Defender External Attack Surface Mgmt,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderExternalAttackSurfaceMgmtBlog
Defender Threat Intelligence,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderThreatIntelligence
Vulnerability Management,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Vulnerability-Management
Microsoft Defender XDR,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftThreatProtectionBlog
Microsoft Defender Cloud,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderCloudBlog
Microsoft Defender ATP,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderATPBlog
Microsoft Defender IoT,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderIoTBlog
Microsoft Defender for Office 365,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDefenderforOffice365Blog
Microsoft Developer Community,Development,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDevCommunityBlog
Microsoft Device Ecosystem Platform,Hardware,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftDeviceEcosystemPlatformBlog
Microsoft Entra,Identity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-entra-blog
Microsoft Forms,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftFormsBlog
Microsoft Graph Data Connect for SharePoint,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft_Graph_Data_Connect_for_SharePo
Microsoft Industry,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftIndustryBlog
Microsoft Intune,Endpoints,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoftintuneblog
Microsoft Learn,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftLearnBlog
Microsoft MVP Program,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=mvp-blog
Microsoft Mechanics,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMechanicsBlog
Microsoft Mission Critical,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftMissionCriticalBlog
Microsoft One Drive,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OneDriveBlog
Azure Purview,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzurePurviewBlog
Microsoft Security Baselines,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft-Security-Baselines
microsoft security,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-security-blog
Microsoft Security Copilot,Copilot,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SecurityCopilotBlog
Microsoft Security Experts,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftSecurityExperts
Microsoft Sentinel,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftSentinelBlog
Microsoft SharePoint,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SPBlog
Stream,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StreamBlog
Microsoft Teams (free),Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=TeamsFreeBlog
Microsoft Teams,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsBlog
Microsoft Teams Community,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsCommunityBlog
Microsoft Teams Support,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftTeamsSupport
Microsoft USB,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftUSBBlog
Microsoft Viva,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MicrosoftVivaBlog
The Mixed Reality,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=TheMixedRealityBlog
Mixed reality link,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=mixed-reality-link
Modern Work App Consult,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ModernWorkAppConsult
Modernization Best Practices,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ModernizationBestPracticesBlog
Networking,Networking,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=NetworkingBlog
Non profit Techies,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=NonprofitTechies
Office End Of Support,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OfficeEOS
Oracle on Azure,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=OracleonAzureBlog
Outlook,Outlook,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Outlook
Partner Marketing as a Service,Partners,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PartnerMarketingasaServiceblog-board
Partner News,Partners,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PartnerNews
Planner,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PlannerBlog
Project,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ProjectBlog
Project Support,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ProjectSupport
Public Sector,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=PublicSectorBlog
SAP Applications,SAP,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SAPApplications
SQL Server,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SQLServer
SSIS,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SSIS
SQLServer Support,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SQLServerSupport
Share Point Embedded,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SharePoint_Embedded
Share Point Premium,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SharePoint_Premium_Blog
Skype for Business,Productivity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Skype_for_Business_Blog
Small Basic,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SmallBasic
Small and Medium Business,Microsoft 365,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Microsoft365BusinessBlog
Startups at Microsoft,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StartupsatMicrosoftBlog
File CAB,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FileCAB
Student Developer,Development,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=StudentDeveloperBlog
Surface IT Pro,Hardware,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SurfaceITPro
Sysinternals,SysInternal,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Sysinternals-Blog
System Center,Endpoints,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SystemCenterBlog
Weekly Roundup,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WeeklyRoundupBlog
Viva Amplify,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Amplify_Blog
Viva Connections,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Connections_Blog
Viva Engage,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Engage_Blog
Viva Glint,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Glint_Blog
Viva Glint Partnersblog board,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Glint_Partnersblog-board
Viva Insights,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Insights_Blog
Viva Learning,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Viva_Learning_Blog
Viva Pulse,Collaboration,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=VivaPulse-Blog
Windows Admin Center,Windows,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Windows-Admin-Center-Blog
Windows Driver Dev,Windows,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WindowsDriverDev
Windows Hardware Certification,Windows,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=WindowsHardwareCertification
Windows IT Pro,Windows,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Windows-ITPro-blog
